statement	human1	human2	human3	human4	human5	human1_stance	human2_stance	human3_stance	human4_stance	human5_stance	human1_op	human2_op	human3_op	human4_op	human5_op
You are expected to do what you are told.	 1.Show a genuine interest in what's going on in your life, what you have to say, and how you think and feel. Accept you for who you are. 2. trying their best to show up, keep promises, and do what they say they'll do	1.I understand that there are cultural differences and varying perspectives when it comes to addressing someone by their first name upon first meeting. While some may consider it rude to call a person by their first name initially, others may find it acceptable or even prefer it. In many casual social settings or certain work environments, using first names right from the start is seen as a friendly and informal approach. 	1. When you are told to do something is is your duty to do it. 2. When you are told you need to do something it's usually urgent. 3. When you are told to do something you are told to do so by someone that feels as though it's important you attend to what it is you are told to do. 	1. Compliance with instructions demonstrates respect for authority and promotes a harmonious environment. 2. Adhering to instructions can prevent confusion and ensure  tasks are completed accurately and on time. 3. Doing what you are told can help individuals learn from the experience and gain valuable skills.	nothing	agree	agree	agree	agree	disagree	2	1	3	3	0
It is dishonest to take credit for work that you did not do on your own.	1. Taking credit for another person's work is never acceptable, especially in the workplace.  2. Unfortunately, as an employer, you may have noticed one of your workers taking credit for work 	1.The phrase "You are expected to do what you are told" implies that there is an expectation for individuals to follow instructions or commands given to them. It suggests that authority figures or those in positions of power have the right to dictate actions and behaviors, and it is the responsibility of others to comply. 	1. Someone else deserves the credit for work done. 2. You are not deserving of credit for work that you did not do. 3. Claiming work as your own that you did not do is dishonest. 	1. Taking credit for work that you did not do is unethical and goes against principles of honesty and integrity. 2. Giving credit where it is due promotes fairness and acknowledges the contributions of others. 3. Taking credit for someone else's work undermines trust and can damage professional relationships.	yes i will agree to take credit for another person is dishonest	agree	agree	agree	agree	agree	2	1	3	3	1
People are expected to care for their loved ones.	1'Encourage your loved one's independence. 2. Know your limits. 3. Make time to relax daily, and learn how to de-stress when you start to feel overwhelmed.	1.When individuals claim credit for work they did not contribute to, they are essentially deceiving others and misrepresenting their abilities and achievements. This kind of behavior undermines the trust that is crucial for effective teamwork and collaboration. It also denies recognition and opportunities to those who actually deserve it, causing resentment and damaging relationships within a group or organization.  	1. It is a social norm to take care of loved ones. 2. It is expected for people to take care of loved ones when they are not well. 3. Since family looks after your needs, it is morally correct to take care after the same family that looks after you. 	1. Caring for loved ones is a fundamental aspect of human nature and fosters strong emotional bonds. 2. Providing care for loved ones demonstrates empathy, compassion, and a sense of responsibility. 3. Caring for loved ones can contribute to their overall well-being and improve their quality of life.	Bringing joy to another human is always a rewarding experience. Loved and Supported – When you care for another person, you foster empathy as you connect with that person. The simple act of caregiving forges deep bonds as both parties lean on each other for support	agree	agree	agree	agree	agree	3	1	3	3	1
It's expected that people will get along with their partner's family.	1.boyfriend would be understanding of your feelings. You should both together work out a solution hopefully without completely eliminating contact with his family unless they are dangerous people.	1.Caring for loved ones is a fundamental aspect of human relationships and is an expectation that transcends cultures and societies. Whether it's family, friends, or even spouses, people are generally expected to provide support, nurture, and care for their loved ones. 	1. Since a partner becomes apart of your family it is expected that you get along with their family as well. 2. A partners parents should approve of their significant other if everyone is expected to get along well. 3. It is expected that ones partner is respectful of their significant others family. 	1. Building a positive relationship with your partner's family can create a stronger support system for both you and your partner. 2. Getting along with your partner's family can foster a sense of unity and harmony within the relationship. 3. Developing a good rapport with your partner's family can lead to more enjoyable family gatherings and celebrations.	You don't need to get along completely but it's never a bad idea to at least settle your differences so that there's no animosity. Of course, if you're lucky and you do get along then there are no issues to be concerned about	agree	agree	agree	agree	agree	1	1	3	3	1
It is rude to ask someone to buy something for you.	1. Show that you are polite and respectful by using words like please and thank you	1.It is widely accepted and often expected that people will establish good relationships with their partner's family. Building a positive rapport with your partner's family is significant because it contributes to the overall harmony and happiness of the relationship. However, one must acknowledge that every family dynamic is unique, and individual circumstances may vary. 	1. People are expected to only buy things they can afford on their own. 2. It takes work to earn money to afford things and to ask someone to buy something for you is asking for free money essentially. 3. Asking others to buy something for you is a sign of greed. 	1. Asking someone to buy something for you can be considered impolite, as it places an undue burden on the other person. 2. It is generally expected that individuals should take responsibility for their own purchases and not rely on others to fulfill their needs. 3. Requesting someone to buy something for you without a valid reason can be seen as an imposition on their personal preferences. 	When you ask how much they paid for something, it can make them uncomfortable; they may not want you to know how much they make, and most people don't like to flaunt their wealth. I advise not to ask if it seems as though the item appears to be very costly, like a new piece of jewelry or a new car.	agree	agree	agree	agree	agree	1	1	3	3	1
It's wrong to criticize others without reason.	1.critizing others are not under moral values	1.Criticisms may be more of a reflection of that person than of you 2.Sometimes people are critical because they're projecting their own insecurities on you	It is true. Don't critciize other peoples because they have a little heart.	1 nothing to say	Sometimes people are critical because they're projecting their own insecurities on you	agree	agree	agree	disagree	agree	1	2	1	0	1
It's wrong to not protect your partner.	1. partner are believing so should take care	1.Overprotectiveness in couples can lead to feelings of mistrust 2.resentment, and insecurity, which can be harmful to the couple's bond and lead to an unhealthy dynamic	It is completely true. Because, the partner is believe me. They expected minimum is to safe and product to me. So, the not protect is very bad.	1 nothing to say  	you choose wrong its very danger in your life and when you go a wrong way.	agree	agree	agree	disagree	agree	1	2	1	1	1
It's wrong to date your teacher.	1. dating the professor is not a moral thing.	1.But it's completely inappropriate for him to pursue an emotional relationship that goes beyond the student-teacher level, and it's illegal for him to have a sexual relationship with you.	The teacher is guide of all students. So, cannot date with the teacher.	1 Secondly, such relationships can hinder the student's academic progress and harm their overall educational experience. Dating a teacher can create a biased or unfair situation where favoritism may occur, potentially influencing grades or other important evaluations. It can raise questions about the fairness of assessments and undermine the trust and confidence that other students have in their education system.  	this relationship would be illegal if it resulted in sex. This former student teacher would be violating your state’s age of consent,	agree	agree	agree	agree	agree	1	1	1	1	1
You should sell your engagement ring once you break up with someone.	1. i cannot agree to this statement	1.It is okay and it is common practice.	It is good choice of our thoughts.	1 Emotional Closure: Breaking up with someone can be a challenging and emotionally taxing experience. Selling the engagement ring might provide a sense of closure, symbolizing the end of that chapter in your life and allowing you to move forward. It can help you let go of painful memories associated with the relationship. 	when you married your partner engagment ring once you break up with someone.	disagree	agree	agree	agree	agree	1	1	1	1	1
You should end a relationship if you're interested in somebody else	1. we should loyal to the relationship and should not hurt partner for this reason	N/A	It is our thoughts. So, choose the best way.	1 Honesty and Integrity: It's important to be honest with yourself and your partner about your feelings. Pretending everything is fine in your current relationship while being attracted to someone else can lead to emotional turmoil and dishonesty. 	t's important to note that falling for someone else doesn't automatically mean you should end things with your partner	disagree	disagree	agree	agree	agree	1	0	1	1	1
