statement	human1	human2	human3	human4	human5	human1_stance	human2_stance	human3_stance	human4_stance	human5_stance	human1_op	human2_op	human3_op	human4_op	human5_op
You are expected to do what you are told.	1. he had a own opinion they do. 	1.nothing	1. Not everyone feels like doing what they are told to do. 2. Not everyone can be counted on to do what they are told to do. 3. Some people are expected to do the opposite of what they are told to do. 	1. Blindly doing what you are told can hinder critical thinking and independent decision-making. 2. Obedience to authority can sometimes lead to the suppression of individual rights and freedoms. 3. Encouraging independent thinking and autonomy fosters creativity and personal growth.	its very rare to told about him	agree	agree	agree	agree	disagree	1	0	3	3	1
It is dishonest to take credit for work that you did not do on your own.	1. Assigning credit correctly is a key to motivating people and driving performance	1.nothing	1. Some people feel as though they are entitled to receive credit for what that they did not do. 2. Some people might want credit for work they did not complete based on a favor they did for the person that did complete the work. 3. Some people might feel as though they are incapable of completing the work that they were dishonest about completing on their own. 	1. Taking credit for work that you did not do can be justified if it helps to achieve a greater goal or advance a project. 2. In some cases, sharing credit among multiple contributors may dilute the recognition and impact of an individual's efforts. 3. Taking partial credit for a project can be seen as a way to highlight one's own contributions and skills.	nothing	agree	agree	agree	agree	agree	1	0	3	3	0
People are expected to care for their loved ones.	1. Caregiving stress can lead to burnout if you don't take care of yourself	1.nothing	1. Not all family members would look after you. 2. Some people do not want to be looked after by loved ones. 3. Some loved ones that need care might not want their family to take care of them because they might feel like they are being a burden. 	1. People should prioritize their own well-being and personal growth over caring for their loved ones. 2. In certain situations, professional care or assistance may be more suitable and effective than relying solely on family members. 3. Some individuals may not have the necessary resources or capabilities to provide adequate care for their loved ones.	the above statement are agree	agree	agree	agree	agree	agree	1	0	3	3	0
It's expected that people will get along with their partner's family.	1. don't need to get along completely but it's never a bad idea to at least settle your differences so that there's no animosity.	1.nothing	1. Not everyone's parents or family are easy to get along with. 2. Not everyone has a family that is worth being nice to. 3. Not everyone has parents that even they themselves like enough to the point where they want their significant other to get along with them. 	1. It is not necessary to get along with your partner's family as long as you have a strong bond with your partner. 2. Differences in values, beliefs, or personalities can make it challenging to establish a positive relationship with your partner's family. 3. The pressure to get along with your partner's family can lead to feelings of resentment or inauthenticity.	nothing	agree	agree	agree	agree	agree	1	0	3	3	0
It is rude to ask someone to buy something for you.	1. If you are too demanding, it will cause hesitation.  2. People don't want to feel like they are being pushed around	1.nothing	1. Sometimes you can't afford what you need to buy. 2. Sometimes you need someone to buy you something that you need because you currently can't afford said item but will have the money in the near future and can pay the person back. 3. Sometimes it might be right to ask someone to buy you something if you feel as though they owe you a favor or you bought them something in the past. 	1. In some relationships, it is common to ask for assistance with purchases, and it may be seen as a gesture of mutual support. 2. If there is a mutual understanding, asking someone to buy something for you can be a convenient way to acquire the desired item. 3. It is not inherently rude to ask someone to buy something for you, as long as it is done respectfully and ability to help.	nothong	agree	agree	agree	agree	agree	2	0	3	3	0
It's wrong to criticize others without reason.	1.i cannot disagree to this	N/A	na	1 Unnecessarily hurts others: Criticizing someone without any logical basis can be hurtful and demoralizing. It undermines their self-confidence, making them doubt their abilities and achievements. This negativity can lead to emotional distress, anxiety, and even depression. 	NA	agree	agree	agree	disagree	agree	1	0	0	1	0
It's wrong to not protect your partner.	1. i cannot disagree to this statement	NO	na	1 One of the primary reasons why it is wrong not to protect your partner is that it breaks the trust that forms the foundation of any relationship. Trust is crucial for a partnership to thrive, and when your partner feels unprotected, their trust in you diminishes. This can lead to insecurity, doubts, and even resentment, preventing the relationship from growing and diminishing the emotional connection between partners.  	NA	agree	agree	agree	disagree	agree	1	0	0	1	0
It's wrong to date your teacher.	1. i cannot disagree to this statement	NOTHING	na	1 nothing	NA	agree	agree	agree	agree	agree	1	0	0	0	0
You should sell your engagement ring once you break up with someone.	1. it is not comes under moral things	GOOD	na	1 Financial Relief: Engagement rings are often valuable assets, and selling it can provide a much-needed financial boost. This money could be used to pay off any shared debts, fund essential expenses, or simply provide a sense of financial security during a challenging time. 	NA	disagree	agree	agree	agree	agree	1	0	0	1	0
You should end a relationship if you're interested in somebody else	1. i cannot disagree to this	N/A	na	1 take some time to evaluate the state of your current relationship. Are you satisfied and fulfilled? Are there underlying issues or concerns that contribute to your wandering interests? It's crucial to evaluate whether you are genuinely interested in someone else due to a real connection or if it is a temporary infatuation.	NA	disagree	disagree	agree	agree	agree	1	0	0	1	0
You shouldn't write on things that don't belong to you	It's okay to write on things that don't belong to you if it's not going to cause any damage. If you're writing something creative or inspiring, it can actually improve the property. If you're writing something important, such as a message of protest or social change, it can be justified to write on things that don't belong to you. 	1. there is no things that not belong to me . 2. enjoy all the things that you have. 	yep this is so modulation	1. In some cases, it is necessary to take things that don't belong to you in order to survive. 2. Taking things that don't belong to you is not wrong if the owner is not using them or if they are being wasted. 3. Taking things that don't belong to you is acceptable if you are doing it for a good cause, such as to help someone in need. 4. Taking things that don't belong to you is not wrong if the owner is rich or powerful and can afford to lose them. 5. Taking things that don't belong to you is not a crime if you don't get caught.	not write another's details.	agree	agree	agree	agree	agree	3	2	1	5	1
It's wrong to spread hateful opinions.	It's important to be able to express all kinds of opinions, even hateful ones. Hateful opinions can sometimes be necessary to start a conversation about important issues. Hateful opinions can be a way to vent anger or frustration. 	1.angry is a part of opinions. 2.angry is not bad thing.  	ill never disagree for this statement	1.Hateful opinions are a form of free speech and should be protected. 2. Hateful opinions can be helpful in challenging the status quo and promoting social change. 3. Hateful opinions can be a way to vent anger and frustration. 4. Hateful opinions are not harmful if they are not acted upon. 5. Hateful opinions are only harmful to people who are sensitive to them.	It is fully accepted.	agree	agree	agree	agree	agree	3	3	1	5	1
It's okay to be excited about finding a rare piece of something	It can be seen as materialistic or greedy to be too excited about finding a rare item. It can lead to people overpaying for items that are not necessarily worth a lot of money. It can create a sense of exclusivity and elitism among those who own rare items. 	1. Being happy with what you have. 2. Finding happiness in our self.	this will held more towards for the opinion tasks	1.It's not worth getting excited about something that is just rare. 2. Getting too excited about rare items can lead to materialism and greed. 3. Rare items can be expensive and out of reach for many people. 4. Focusing on rare items can distract from more important things in life. 5. Getting too attached to rare items can be emotionally unhealthy.	I totally agree with that a statement. So, I do not select disagree this statement.	agree	agree	agree	agree	agree	3	2	1	5	2
It's wrong not to consider other peoples needs.	It's not always possible to consider everyone's needs, and sometimes we have to prioritize our own. Considering other people's needs can be seen as a weakness, and can be taken advantage of. Not everyone deserves to have their needs considered. 	1. Sometimes our needs are more wanted comparing to others. 2. Satisfy your needs first.	its disgraceful for the peoples	1. Sometimes it is necessary to put your own needs first. 2. Considering other people's needs can lead to self-sacrifice and exploitation. 3. It is not always possible to know or understand other people's needs. 4. Considering other people's needs can lead to indecision and inaction. 5. People should be responsible for their own needs.	It is truely agree in this statement. So, cannot disagree in this statement.	disagree	agree	disagree	agree	agree	3	2	1	5	2
It is not okay to be nosy in neighbors' business.	It is sometimes necessary to be nosy in neighbors' business if we suspect they are in danger. It is sometimes necessary to be nosy in neighbors' business if they are violating the law or disturbing the peace. It is sometimes necessary to be nosy in neighbors' business if their actions are having a negative impact on our property or well-being. 	1. Giving first preference to our business. 2. Developing our business. 	this held be not	1. It is important to be aware of what is happening in your community. 2. Being nosy can help to identify and prevent crime. 3. Being nosy can help to resolve neighborhood disputes. 4. Being nosy can help to build community and relationships. 5. Being nosy is not harmful if it is done in a respectful and discreet manner.	It is very true. Because, Unwanted fights are comes it.	agree	agree	agree	disagree	agree	3	2	0	5	2
People should take all the time they need to get over a tough breakup.	Customer interaction helps companies increase their profit margin because it enables them to meet customers' demands and needs. They can keep existing customers while increasing customer satisfaction and customer experience, which typically leads to increased sales	sometimes its not healing for someone life.	Depression. After you realize that bargaining didn't work, you go into the depression phase – one of the hardest stages of grief in a breakup. This is different from Clinical Depression because what you feel in this stage is a normal reaction to the loss of a relationship.	i cannot disagree this statement	1.it may leads to get it as a long break 2.To start a  new job was  not easy	agree	agree	agree	agree	agree	1	1	1	1	2
Your ex's business is no longer your concern.	Using good manners puts others before you and is a sign of respect and courtesy. Etiquette implies polite behavior and can help build relationships with people, whether it is applied in the workplace or at a social gathering.	it is sometimes damage your mind and confidence	Your ex may experience regret as most people do. It's a normal part of changing circumstances in one's life.	i cannot disagree this statement	1.It some times helps you to how to overcome, 2.Gives some tactical and positive mindset 	agree	agree	agree	agree	agree	1	1	1	1	2
You should help others when they ask you for a favor.	showing up on time to a meeting. shaking hands when meeting another person. maintaining eye contact when speaking. avoid interrupting others	when your not in good condition  , it is not possible.	If they've made a habit of it, ask for payment for service, and explain why. Don't be rude about it, but simply say that you have your own worries to deal with, and you can't spend all your time doing things for everyone else. Saying this is not selfish, it simply makes you less of a door mat.	i cannot disagree this statement	1.It may lead you to trouble some time. 2.some financial helps cause lot of trouble.	agree	agree	agree	agree	agree	1	1	1	1	2
